app_package,category,confidence,reason
com.kamagames.pokerist,gambling,high,扑克棋牌游戏
com.id2hp777.ntla1639,gambling,high,含777/ntla赌博特征
com.gapslot,gambling,high,含slot关键词，属老虎机
com.HERO388,gambling,medium,含388数字特征，疑似赌博
com.id433zk.ntla27,gambling,high,含ntla赌博特征
com.id5dan777.ntla839,gambling,high,包名含777，典型赌博应用
com.id6fb168.ntla8,gambling,medium,包名含168，疑似赌博应用
com.danagame193.app,gambling,medium,疑似赌博棋牌应用
com.id5l777.ntla183,gambling,high,含777/ntl赌博特征
com.p4d_gegeslot.app,gambling,high,slot关键词属老虎机
naga1001.aplicdud,gambling,medium,naga1001疑似网赌
com.seamless.KEJAWEN168,gambling,medium,包名含168疑似赌博
com.oxplay.hgo909,gambling,medium,包名含909疑似赌博
com.id7qt777.ntla1,gambling,high,777/ntla典型赌博包名
com.golden666,gambling,medium,疑似赌博棋牌应用
com.kocok.apk,gambling,medium,Kocok摇骰子赌博
com.kk888.kk888,gambling,medium,疑似赌博棋牌应用
com.dragon.apek88,gambling,medium,包名含88疑似赌博
com.solucyslot,gambling,high,含slot关键词，属老虎机
com.ravefoxy.cashprize,gambling,medium,现金博彩应用
com.new789bni302.app,gambling,medium,789/302赌博特征
com.app.cerb.mc888,gambling,high,888/cerb典型赌博包名
com.adro.viptoto,gambling,high,toto关键词属彩票
com.ntla642.hixhtbw,gambling,high,ntla典型赌博包名
com.megawin188,gambling,high,megawin/188赌博特征
com.xbuah4d.app,gambling,high,印尼4D彩票赌博应用
com.idgowin.ntla234,gambling,high,ntla典型赌博包名
com.luck109.app,gambling,high,luck典型赌博包名
com.lucksvip146.app,gambling,high,luck典型赌博包名
com.example.Tanjung899,gambling,medium,899数字赌博特征
com.abzorbagames.blackjack,gambling,high,blackjack二十一点
com.bragame.royalclub,gambling,high,棋牌赌博应用
com.id5crazydomino.ntcrazydominoct2,gambling,high,多米诺赌博应用
com.id5l777.ntla237,gambling,high,含777/ntla赌博特征
com.id6v98.ntla1,gambling,high,含ntla赌博特征
com.dealer.bingo.game,gambling,high,宾果棋牌游戏
com.id7rr777.ntla1,gambling,high,含777/ntla赌博特征
com.tokwin.lucky,gambling,medium,lucky疑似博彩
com.meta.hoki777,gambling,high,777关键词属博彩
com.id5dan777.ntla337,gambling,high,含777/ntla赌博特征
com.tiket200,gambling,medium,200数字彩票特征
com.ntla111.djxsbzq,gambling,medium,ntla系列赌博应用特征
com.DAGOTOGEL.app,gambling,high,包名含TOGEL彩票赌博
lucky.slotplus.hypertap,gambling,high,老虎机赌博
com.id6hiwingame.ntla192,gambling,medium,ntla系列赌博应用特征
com.id53126.ntla23,gambling,medium,ntla系列赌博应用特征
com.mobiusx.live4dresults,gambling,high,4D彩票结果赌博
com.id2dogame.ntdogamect3,gambling,medium,ntla/dogame赌博包名特征
com.id6kakrp.ntla27,gambling,medium,ntla系列赌博应用特征
com.judi.autoblur,gambling,high,judi意为赌博
com.app.cerb.mcsd7,gambling,high,cerb典型赌博包名
com.id2day777.ntday777,gambling,high,含777关键词，属赌博类
com.richrtp.self,gambling,high,rtp老虎机返奖
com.rupiyo.realmoney.rewardsapp,gambling,high,真金奖励
com.id433zk.ntla149,gambling,high,ntla网赌
com.id2mt777.ntmt777,gambling,high,棋牌赌博应用
com.id4x78.h5la551,gambling,high,h5网赌马甲
com.id6svip9.ntla104,gambling,medium,包名含VIP，疑似赌博应用
com.ntla228.wxszhij,gambling,medium,ntla系列赌博应用特征
com.JinJi.Mahjong.JMH,gambling,high,麻将棋牌游戏
com.id6v98.ntla52,gambling,high,ntla网赌马甲
com.atome.cashier,installment,high,Atome先买后付分期
com.sigma.sigmanetwork,other,low,未知小众应用
ru.parisnail.android,other,low,美甲沙龙类应用
com.ef.edtech.hf,other,medium,教育科技类应用
com.btcdana.online,other,medium,加密货币相关
com.ukk.t6,other,low,未知应用
com.singa153.app,other,low,未知小众应用
app.voisa,other,low,无法识别具体功能
com.sg.sgu.sun,other,low,未知应用
com.andromo.dev405941.app440132,other,low,模板生成应用
com.bulky.app,other,low,未知工具应用
com.csm.unicornmobile,other,low,包名无明确特征
com.astroid.yodha,other,low,未知游戏应用
id.co.solusinegeri.arridloputri,other,low,本地小众应用
com.muna.lively,other,low,包名无明确特征
com.puje.nerse,other,low,包名无明确特征
org.alien.app,other,low,未知小众应用
io.paxinet.paxihub,other,low,未知小众应用
com.zetrixonnetwork,other,low,未知小众应用
com.mphg.mp_healthcare,other,medium,医疗健康应用
com.pteksadata.siora,other,low,未知小众应用
desa_wisata_nusantara.go.desa_wisata_nusantara,other,medium,旅游村务应用
com.qubit.network,other,low,未知小众应用
com.intouch.allianz,other,medium,安联保险应用
com.sysfiprotocol.sysfi,other,low,DeFi协议应用
com.sproutnetwork.app,other,low,未知小众应用
com.allianz.eAZyconnect,other,medium,安联保险应用
com.onnetwork.on_network,other,low,未知小众应用
app.teli,other,low,未知应用
com.bubpof.android.blepun,other,low,特征不明
com.app.nextlog,other,low,未知日志工具
com.ihcg.qsnve669.xwrulue,other,low,乱码包名
com.ionicframework.owlexa244658,other,low,框架打包应用
com.milapp.milapppro,other,low,未知应用
com.YN2zhanshi.app,other,low,未知应用
id.co.ajsmsig.cosmos.orion,other,medium,印尼保险机构应用
com.example.bonggol,other,low,测试或未知应用
id.code.wings,other,low,特征不明
math.Mathematics.exam.math,other,medium,数学考试学习应用
com.blueriz.aviandigital,other,low,包名无明确特征
com.bc.main,other,low,特征不明
com.e_intidata.MSTR_To,other,low,包名无明确特征
com.masterw.app,other,low,未知应用
com.atisfyre.mobile,other,low,未知应用
com.sequis.neu.polisku,other,medium,保险应用
com.chronoapex.oapexcoapexhron,other,low,未知应用
com.renner2u.mainapp.prod,other,low,未知应用包名
com.megahmuliamandiritama.bluespider.hermina,other,medium,Hermina医院应用
id.co.g24.gold,other,medium,黄金投资交易
com.maha.wld,other,low,未知应用包名
com.sipgar.id,other,low,未知小众应用
com.hyratek.salala,other,low,未知小众应用
com.fidoritoriTYHG201ds.hnfhTFGVC56tg,other,low,混淆包名无法识别
id.nf21.rbn1,other,low,包名无明确特征
com.gsi.siapik_sekolah,other,medium,学校信息系统
bcom.rrdianshiase.table,other,low,未知工具应用
com.wbpwc.wapfkhw,other,low,混淆包名，无法归类
com.haimed.primamedika,other,medium,医疗健康类应用
com.fy.build.xm,other,low,未知开发应用
com.undergaming.store.ehealt,other,low,健康类应用
id.pentacode.bintang,other,low,未知应用
com.ackinacki,other,low,特征不明
com.kiosoft.uwash,other,low,未知应用
com.app.cerb.mcopr,other,low,未知应用包名
id.qazwa.mobile,other,low,未知应用
aero.sita.lab.resmobileweb.android.mh,other,low,未知企业应用
bw.dt.qu,other,low,无法识别具体功能
id.tigaraksaep.and,other,low,包名无明确特征
com.chaingridNetwork.chaingrid,other,low,未知小众应用
com.newandromo.dev2000421.app3947614,other,low,模板生成未知应用
ad.august06.rejeki,other,low,未知应用
com.accor.appli.hybrid,other,medium,雅高酒店官方应用
com.adi.solusiku,other,low,未知本地应用
com.mppdigital.app,other,low,未知应用
com.autsorz.mobile,other,low,未知应用
com.intek.cis,other,low,未知小众应用
com.pjansak.devpratama,other,low,未知开发应用
fi.twentyhangersnearme.threegreen,other,low,未知应用
com.oislgahkt.pegaslitheir,other,low,乱码包名
com.cusspy.android,other,low,包名无明确特征
com.xd.xdtglobal.gp,other,low,包名无明确特征
ai.asaren.mobile,other,low,特征不明
id.jadiojk.app,other,medium,金融监管信息
com.depatu.depatu,other,low,未知小众应用
com.troutwood.sfp,other,low,未知应用
com.ntla473.zvzmjid,other,low,混淆包名，无法归类
com.dayagreen.app,other,low,特征不明，归为其他
com.tuyo.mobile.android,other,low,未知应用
id.emc,other,low,未知企业应用
com.lokinative,other,low,未知应用
com.wordpress.kuoyhuot.keepr,other,low,未知应用
com.mobmif,other,low,未知小众应用
com.pdn.mobile,other,low,未知小众应用
com.rem87k.rewaytganaelsaqr,other,low,未知小众应用
com.bajawa.app,other,low,未知本地应用
com.mastar.everyday,other,low,日常工具
com.touch.earnbay.gp,other,low,网赚类应用
org.coihksa.coindana,other,low,加密货币相关
com.potradeweb,other,low,交易网页应用
com.bric.app.bric,other,low,未知小众应用
com.metasun.mobile,other,low,包名无明确特征，归为其他
com.jupie.eddy,other,low,无法识别具体功能
com.diniryco,other,low,未知小众应用
com.bss.rabbitmobileapp,other,low,未知业务应用
com.fulus.qita.new22,other,low,包名无明确特征
id.app.mynss,other,low,包名无明确特征
com.li4dresv1,other,low,未知小众应用
com.pgmapp.id.prod,other,low,包名无明确特征
com.bnpnetwork.bnpapp,other,low,未知小众应用
com.afila.simasn,other,high,印尼公务员系统
id.toco,other,low,无法识别具体功能
id.meteor.alfamind,other,low,未知教育应用
org.fcbh.indasv.o2.o.n2.n,other,low,混淆包名，无法归类
id.go.tangerangkota.sobatdukcapil,other,high,印尼政府民政服务
id.co.allianz.acl,other,medium,安联保险应用
com.bladetw.bd,other,low,未知应用
ts.prod.simalape_2025,other,low,未知应用
com.newandromo.dev2000421.app3953226,other,low,模板生成未知应用
com.com.Versa,other,low,未知应用
com.edgex.one,other,low,未知小众应用
com.galxe.app,other,low,Web3链上任务
com.ddezsb.hbbm,other,low,混淆包名，无法归类
com.gd02dhjwe.moya,other,low,包名无明确特征
xyz.hermez.tesla,other,low,未知应用
com.avn.aventraNetwork,other,low,未知小众应用
com.app.cerb.mcpee,other,low,未知游戏应用
com.dlhbantul.seresah,other,low,地方政务或未知应用
id.lumut.mida,other,low,未知地方应用
com.rongrit.putrarafflesia,other,low,本地小众应用
com.smartfeel.ylmsportsci,other,medium,运动健康类
com.trainerize.quinnstrengthonline,other,medium,健身训练应用
id.assa.euclid,other,low,未知企业应用
blackowl.id,other,low,未知应用
com.bsnpartaigolkar,other,low,政党或社团应用
com.ptyum.yumobile,other,low,特征不明
com.softpro.pickhub,other,low,未知应用
com.bnsonramp,other,low,未知应用
com.app.cerb.mcjvs,other,low,特征不明
or.id.aaji.agent,other,low,代理管理应用
app.pibase.co,other,low,未知小众应用
com.altdeer.app,other,low,未知小众应用
com.app.hypenetwork,other,low,未知小众应用
com.danabaik.baiknoface.new,other,low,包名无明确特征
com.app.cerb.mcskb,other,low,特征不明
com.tmt.Pisang123,other,low,未知本地应用
com.bormadago.app,other,low,未知应用，无明确特征
com.di_jasa.pelanggan,other,low,客户服务类应用
com.mercatocapitale.tanamduit,other,low,投资理财类应用
com.mmcecard.tangerang,other,low,地方交通卡应用
com.pexx.app,other,low,未知应用，无明确特征
id.co.ffi.fima,other,low,金融投资类应用
id.pramuka.ayosatu.app,other,low,童子军组织应用
com.fintag.Kawan,other,low,金融社交类应用
com.dwidasa.telemedistra,other,medium,远程医疗
com.fundovertwo,other,low,特征不明
com.kodama.kifi,other,low,特征不明
indomobil.co.id.dms,other,low,经销商管理系统
com.vtrostudio.body_massager,other,low,健康按摩工具
com.dipostar.starx,other,low,未知应用
com.dessertreciepebook.gems,other,low,甜点食谱
com.lohji.kangdolan,other,low,旅游导览应用
asia.popbox.app,other,low,特征不明
com.nationalhospital.surabaya.nhapps,other,low,医院服务应用
com.biddingnativeapp,other,low,竞价原生应用
com.sterling.clstoeng,other,low,未知应用，无明确特征
com.obestseed.ku.id,other,low,未知应用，无明确特征
com.fxpro.direct.application,other,medium,外汇交易平台应用
com.abel.ubinan,other,low,未知应用
com.SIPenyuluh,other,medium,农业推广信息系统
com.yuanfudao.android.leo.cm,other,medium,猿辅导在线教育
com.usid.mobileanggota.mw,other,low,未知会员应用
com.release.kociv6,other,low,未知应用
com.brightoncorporation,other,low,未知企业应用
com.coreaicreations.velixa.alpha,other,low,未知小众应用
com.solusidana.simulasi,other,medium,资金模拟计算工具
com.feraset.tune,other,low,未知应用，无明确特征
id.go.bangkalankab.simpeg,other,medium,邦卡兰县政府系统
com.teltics.afungapp,other,low,未知应用包名
com.vivo.it.college,other,medium,教育学习类
id.flo.jmto,other,low,未知应用包名
id.or.pemuda.pancasila.mkta,other,medium,印尼青年组织应用
org.devar.android,other,low,未知应用包名
org.gkipi.gkipiapp,other,low,未知应用包名
com.app.cerb.mctwt,other,low,特征不明
com.gitlap.myplayza,other,low,未知应用包名
com.kokotots.ocean,other,low,未知应用包名
com.feiwin.x99k3,other,low,未知应用
com.ydf.samonline,other,low,未知应用，无明确特征
sa.gov.mofa.saudivisabio,other,low,沙特签证政务
com.andromo.dev674155.app773609,other,low,Andromo模板应用
com.hdf.twear,other,low,未知应用
xyz.hermez.alexis,other,low,未知应用，无明确特征
com.example.droppevufhridjdjhdjjdj,other,low,示例/测试包名
com.diricare.app,other,low,医疗健康应用
com.expertoption,other,medium,二元期权交易
com.paulanative.app,other,low,未知小众应用
id.go.kemensos.siksma,other,high,政府社会服务
go.id.tapinkab.govem,other,high,地方政府服务
csa.dhr.vortexneon,other,low,未知应用
com.Voltaic.Streamqs,other,low,未知应用
web3.sleep.to.earn.crypto.nft.money.cash.rewards.dream,other,medium,Web3睡眠赚钱
com.tatalogam.metalmen,other,low,未知应用，无明确特征
io.calgo.mining,other,medium,挖矿应用
com.sphynx,other,low,未知应用
com.sat21.global.pro,other,low,未知应用
com.bittycoon.gomining,other,medium,云挖矿应用
com.hwg500,other,low,未知应用，无明确特征
com.onna.app,other,low,无法识别具体功能
id.synergics.digital.e.yankes.ssdm,other,low,医疗健康服务
com.andromo.dev674155.app753335,other,low,Andromo模板应用
com.fxbl.mts.vivo,other,low,特征不明
com.indivara.agenin.muh,other,low,特征不明
com.app.cerb.mcezp,other,low,未知应用，无明确特征
com.app.cerb.mcrmb,other,low,未知应用，无明确特征
com.bm.sc.tasku,other,low,未知应用
com.dcjnmed.jifqq,other,low,特征不明
com.bm.sc.semar,other,low,未知应用
com.altermyth.usahatelur,other,low,鸡蛋生意模拟
com.sie.mp,other,low,包名无明确特征
com.abangbenerin,other,low,未知应用，无明确特征
com.thaidigitalplatform.tagthai,other,low,泰国数字平台
id.go.jogjakota.jogjasmartservice,other,high,智慧城市服务
com.jxhy.official,other,low,未知应用，无明确特征
com.sentbe,other,low,未知社交或工具
id.compro.gadingmurni,other,low,房地产物业应用
mbinc12.mb32b,other,low,未知应用，无明确特征
com.dinustek.ecuticilacap,other,low,特征不明
ai.earna.mobileinterface,other,low,AI移动界面
com.fxbl.fafs.vivo,other,low,特征不明
id.co.mybintang.apps,other,low,本地服务应用
com.luckydog.anygoapp,other,low,未知出行或本地应用
com.panticode.cekbansos,other,high,印尼政府补助查询
com.gdmobile.matrix,other,low,未知应用
com.sca,other,low,特征不明
com.insancitamultimedia.iket,other,low,本地多媒体
com.icm.icm,other,low,未知应用包名
com.metaflowtech.xebar,other,low,未知应用
com.ttt.wuus,other,low,未知应用包名
com.lablr.app,other,low,未知应用包名
com.rongrit.palala,other,low,特征不明
com.duns.padiapp,other,low,未知农业或本地应用
com.vm3.global,other,low,特征不明
com.martrust.seafarerui,other,medium,海员金融
com.bkd.simponimobile,other,medium,印尼医保应用
com.htw.ynwin,other,low,未知应用包名
com.idn680313.app,other,low,未知应用包名
com.jwaala.mobile.whitefish,other,low,未知应用
com.jekdo,other,low,未知应用
com.idn.txh2,other,low,未知应用包名
com.innovecto.etalastic,other,low,未知应用
com.idn.txh1,other,low,未知应用包名
com.inko.appinko,other,low,特征不明
com.sanders.satustop,other,low,未知应用
net.andromo.dev547916.app689701,other,low,Andromo生成应用
com.phs.global,other,low,未知应用包名
id.co.sm.sharp,other,medium,夏普官方应用
com.uxuy,other,low,特征不明
vg.real,other,low,未知应用
goid.kotajambi.sipaduko,other,medium,占碑市政府系统
com.lifijhsj.snoperme.urbanse,other,low,未知应用包名
com.aricode.nias,other,low,未知应用包名
com.npm.customerconnect,other,medium,客户连接管理
com.terakorp.rsmasmitra,other,low,未知应用
com.rktraders.app,other,medium,交易员管理应用
org.openmind.fabric,other,low,特征不明
xyz.uplink.uplink,other,low,特征不明
com.periodtracker.ovulation.periodcycle,other,medium,生理期追踪
id.co.baliroyalhospital.mobile,other,medium,巴厘皇家医院应用
forwarder.com.scmobile,other,low,未知应用包名
ovi.zhbsz.shiy,other,low,无法识别具体功能
com.babycenter.pregnancy.easymobs.healofy,other,medium,孕期育儿应用
com.zhiyou.tanda,other,low,未知应用包名
com.cipta,other,low,未知应用包名
com.app.cerb.mccdu,other,low,未知应用包名
com.primaya.mobile,other,medium,医疗预约应用
com.linkqu.mobile,other,low,未知应用
com.daroy.td,other,low,特征不明
com.tulus.bnkp.perikopenbnkp,other,low,未知应用
com.ntla5.jpyfroc,other,low,未知应用包名
netroken.android.persistfree,other,low,未知应用包名
com.kezi10.app,other,low,未知应用
com.a1010digital.android.lolodryadmin,productivity,medium,门店管理后台
com.Ahbar.TutorialBelajarExcel,productivity,medium,Excel教程办公
com.redikru.app,productivity,medium,招聘排班应用
com.adjiofficial.rumusexcellengkapofflineterbaru,productivity,medium,Excel公式教程
com.daroy.absenlokasi.debug,productivity,medium,考勤办公应用
com.yahoo.mobile.client.android.mail.lite,productivity,high,Yahoo邮箱客户端
com.pm.presensi,productivity,medium,考勤打卡应用
com.crawlingbabies.numberstracing,productivity,high,儿童数字描红应用
id.go.pajak.vita,productivity,high,税务申报应用
com.googlebusinessprofilegrowthmanager,productivity,high,谷歌商家办公管理
id.go.pajak.presensi,productivity,high,税务考勤应用
com.cash.money.tracker.goals.savemore,productivity,medium,现金记账追踪工具
com.evernote,productivity,high,印象笔记办公
com.androids.exceltutorial,productivity,medium,Excel教程办公
com.infraware.office.link,productivity,high,办公文档套件
com.google.android.apps.labs.language.tailwind,productivity,medium,语言学习实验
note.notebook.notepad.wisenotes,productivity,high,笔记备忘录
com.fragileheart.note,productivity,medium,笔记记录办公
com.superchinese,productivity,high,中文学习应用
com.tirov2.customerportal.production,productivity,medium,客户门户办公
com.tiro.customerportal,productivity,medium,客户门户办公
com.time_management_studio.my_daily_planner,productivity,high,日程计划管理
com.boostedproductivity.app,productivity,high,效率提升工具
com.sumutprov.ekinerja,productivity,high,政府绩效系统
com.zoho.mail,productivity,high,企业邮箱办公应用
com.polman.presensi,productivity,medium,考勤打卡应用
com.niagawan.app,productivity,medium,商户管理应用
cn.wps.moffice_i18n,productivity,high,WPS办公文档处理
com.classdojo.android,productivity,high,教育沟通平台
