app,source,good_count,bad_count,total_count,category,confidence,reason
it.jcsoftmobile.snailcamera.snailcamerapro,good_only,1,0,1,utility,high,专业相机应用
net.andirc.lteonfoff,good_only,1,0,1,utility,high,网络信号检测
org.chromium.webapk.a055b1b9b5a997916_v2,good_only,1,0,1,utility,high,浏览器网页应用
com.gpscamera.timestamp.photolocation.geotag.gpsmapcamera,good_only,1,0,1,utility,high,GPS水印相机
com.nature.hotwonder,good_only,1,0,1,social_entertainment,medium,休闲游戏应用
com.quicktool.gpstracker,good_only,1,0,1,utility,high,GPS定位工具
three.dd.wpp,good_only,1,0,1,social_entertainment,medium,社交辅助工具
wood.block.crush.adventure.puzzle.games,good_only,1,0,1,social_entertainment,high,木块消除游戏
com.artpol.cat.translator,good_only,1,0,1,social_entertainment,medium,趣味翻译娱乐
com.bh.diary.xm,good_only,1,0,1,productivity,high,日记记录工具
com.bravestars.savethedog.drawgame,good_only,1,0,1,social_entertainment,high,休闲绘画游戏drawgame
com.fxpro.direct.application,good_only,1,0,1,other,medium,外汇交易平台应用
com.fyhk.craftman.mi,good_only,1,0,1,social_entertainment,high,沙盒建造模拟游戏
com.fyhk.odyssey.xm,good_only,1,0,1,social_entertainment,high,冒险探索类游戏
com.hks.Airplane.mi,good_only,1,0,1,social_entertainment,high,飞机模拟飞行游戏
com.hks.SpiderFighting.mi,good_only,1,0,1,social_entertainment,high,蜘蛛格斗动作游戏
com.hks.robotCar.mi,good_only,1,0,1,social_entertainment,high,机器人汽车变形游戏
com.hotplay.eatingballs,good_only,1,0,1,social_entertainment,high,吃球大作战休闲游戏
com.metric.lerningcaliper,good_only,1,0,1,utility,high,测量卡尺工具应用
com.miniit.brain,good_only,1,0,1,social_entertainment,high,脑力训练益智游戏
com.mj.simulator.mi,good_only,1,0,1,social_entertainment,high,麻将模拟棋牌游戏
com.mjgf.pocket.xm,good_only,1,0,1,social_entertainment,high,口袋麻将休闲游戏
com.xgame.motoRaceMaster.mi,good_only,1,0,1,social_entertainment,high,摩托赛车竞速游戏
freeplay.crowdrun.com,good_only,1,0,1,social_entertainment,high,人群跑酷休闲游戏
mml.studio.brainsurvival,good_only,1,0,1,social_entertainment,high,脑力生存闯关游戏
cn.wps.moffice_i18n,good_only,1,0,1,productivity,high,WPS办公文档处理
com.gf.bike.race.free.racing.games,good_only,1,0,1,social_entertainment,high,自行车赛车游戏
com.hdvideoplayer.multimedeaplayer.videoplayerallformat,good_only,1,0,1,utility,high,全格式视频播放器
com.veitch.themelodymaster.pmf,good_only,1,0,1,social_entertainment,high,音乐节奏类游戏
id.go.bangkalankab.simpeg,good_only,1,0,1,other,medium,邦卡兰县政府系统
com.solusidana.simulasi,good_only,1,0,1,other,medium,资金模拟计算工具
com.yahoo.mobile.client.android.mail.lite,good_only,1,0,1,productivity,high,Yahoo邮箱客户端
com.coreaicreations.velixa.alpha,good_only,1,0,1,other,low,未知小众应用
com.friedl.randomlettergenerator,good_only,1,0,1,utility,high,随机字母生成工具
com.remoduplicatefilesremover,good_only,1,0,1,utility,high,重复文件清理工具
com.all.video.downloadmanager,good_only,1,0,1,utility,high,视频下载管理器
com.fintag.Toko,good_only,1,0,1,shopping,medium,Toko商店零售应用
com.mahjong.match.blast,good_only,1,0,1,social_entertainment,high,麻将消除休闲游戏
com.supermarket.journey,good_only,1,0,1,social_entertainment,high,超市经营模拟游戏
com.topupkuota,good_only,1,0,1,utility,medium,流量话费充值工具
com.release.kociv6,good_only,1,0,1,other,low,未知应用
com.usid.mobileanggota.mw,good_only,1,0,1,other,low,未知会员应用
com.yuanfudao.android.leo.cm,good_only,1,0,1,other,medium,猿辅导在线教育
com.SIPenyuluh,good_only,1,0,1,other,medium,农业推广信息系统
com.abel.ubinan,good_only,1,0,1,other,low,未知应用
com.bsg.tiops.nobodyjr.bsgqris,good_only,1,0,1,ewallet,medium,BSG二维码支付
com.feiwin.x99k3,good_only,1,0,1,other,low,未知应用
com.frojo.moy5,good_only,1,0,1,social_entertainment,high,Moy5虚拟宠物游戏
com.heatherglade.idleguy,good_only,1,0,1,social_entertainment,high,放置类休闲游戏
com.live.earth.map.satellite.map.view.driving.directions.navigation,good_only,1,0,1,utility,medium,卫星地图导航工具
com.mad.ducklife,good_only,1,0,1,social_entertainment,high,鸭子生活模拟游戏
com.mad.ducklife1,good_only,1,0,1,social_entertainment,high,鸭子生活1代游戏
com.madfingergames.deadtrigger2,good_only,1,0,1,social_entertainment,high,死亡扳机2射击
com.metanote.boyandgirl.musicgame,good_only,1,0,1,social_entertainment,high,音乐节奏类游戏
com.mlkck.flowergame,good_only,1,0,1,social_entertainment,high,花朵主题休闲游戏
com.mobirix.scvb,good_only,1,0,1,social_entertainment,high,休闲小游戏合集
com.noodlecake.altosadventure,good_only,1,0,1,social_entertainment,high,阿尔托冒险滑雪
com.vividgames.realboxing,good_only,1,0,1,social_entertainment,high,真实拳击格斗游戏
com.vividgames.realboxing2,good_only,1,0,1,social_entertainment,high,真实拳击2代游戏
com.cash.money.tracker.goals.savemore,good_only,1,0,1,productivity,medium,现金记账追踪工具
com.linkqu.mobile,good_only,1,0,1,other,low,未知应用
com.otoreport.mjreloadatjehapk,good_only,1,0,1,utility,medium,话费流量充值
id.paymobileku.app,good_only,1,0,1,ewallet,medium,移动支付钱包应用
com.jba.gpsphototags,good_only,1,0,1,utility,medium,GPS照片标签工具
com.kezi10.app,good_only,1,0,1,other,low,未知应用
com.mobileiron,good_only,1,0,1,utility,high,企业移动设备管理
com.nes.lin.qcontra,good_only,1,0,1,social_entertainment,high,魂斗罗复古游戏
com.studio501.jumpdunk,good_only,1,0,1,social_entertainment,high,跳跃扣篮体育游戏
net.homecredit.much,good_only,1,0,1,fintech_lending,high,Home Credit信贷平台
puzzlegame.buildfun.farmmatch,good_only,1,0,1,social_entertainment,high,农场消除休闲游戏
wasaver.downloadstatus.videosaver.wasticker.downloader,good_only,1,0,1,utility,high,WhatsApp状态下载
com.id6sr777.ntla1082,good_only,1,0,1,gambling,high,777/ntla典型赌博包名
com.id7juarago.ntla51,good_only,1,0,1,gambling,high,777/ntla典型赌博包名
com.km.cutpaste.util,good_only,1,0,1,utility,high,剪贴板管理工具
com.pdfreader.pdf.viewer.document.signer,good_only,1,0,1,utility,high,PDF阅读器签名
com.tera.scan,good_only,1,0,1,utility,high,文档扫描工具应用
com.tulus.bnkp.perikopenbnkp,good_only,1,0,1,other,low,未知应用
org.chromium.webapk.add96e902c1d82187_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
app.princessbabyphone.phonegame,good_only,1,0,1,social_entertainment,high,公主宝宝模拟游戏
com.MarsalBermain.MewarnaiGambar,good_only,1,0,1,social_entertainment,high,儿童填色绘画游戏
com.MarsalBermain.PuzzleGameAnakTKdanPAUD,good_only,1,0,1,social_entertainment,high,幼儿益智拼图游戏
com.iz.hospital.doctor.game.kids.girls.baby,good_only,1,0,1,social_entertainment,high,儿童医生模拟游戏
com.kidsworld.learn.music.play,good_only,1,0,1,social_entertainment,high,儿童音乐学习游戏
com.kigle.cocobi.babycare,good_only,1,0,1,social_entertainment,high,婴儿护理模拟游戏
com.kigle.cocobi.bakery,good_only,1,0,1,social_entertainment,high,面包店经营游戏
com.kigle.cocobi.firefighter,good_only,1,0,1,social_entertainment,high,消防员模拟游戏
com.kigle.cocobi.icecreamtruck,good_only,1,0,1,social_entertainment,high,冰淇淋车经营游戏
com.kigle.cocobi.pizzamake,good_only,1,0,1,social_entertainment,high,披萨制作模拟游戏
com.kigle.cocobi.playone,good_only,1,0,1,social_entertainment,high,儿童互动游戏
com.kigle.cocobi.world.one,good_only,1,0,1,social_entertainment,high,儿童世界探索游戏
com.microsoft.office.lync15,good_only,1,0,1,productivity,high,微软企业通讯工具
com.rvappstudios.baby.games.piano.phone.kids,good_only,1,0,1,social_entertainment,high,儿童钢琴音乐游戏
com.rvappstudios.baby.phone.kids.games.toddler.learning.apps.lucas.and.friends,good_only,1,0,1,social_entertainment,high,幼儿学习互动游戏
com.rvappstudios.baby.toddler.kids.games.learning.activity,good_only,1,0,1,social_entertainment,high,幼儿早教活动游戏
com.tt.toddler.songs.tunes.fun.games,good_only,1,0,1,social_entertainment,high,幼儿儿歌娱乐游戏
learning.games.girls,good_only,1,0,1,social_entertainment,medium,女孩学习娱乐游戏
org.ubitech.attendance,good_only,1,0,1,productivity,medium,考勤打卡管理系统
com.adguard.android.contentblocker,good_only,1,0,1,utility,high,广告拦截工具应用
id.yimm.ecatalogue,good_only,1,0,1,shopping,medium,电子目录购物应用
org.chromium.webapk.af8db491c9f6329fd_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
ccd.crazy.car.drivepro,good_only,1,0,1,social_entertainment,high,疯狂驾驶模拟游戏
com.quora.android,good_only,1,0,1,social_entertainment,high,Quora问答社区
com.softwareupdate.systemupdate,good_only,1,0,1,utility,high,系统更新工具
com.topmortar.topmortarseller,good_only,1,0,1,shopping,medium,卖家管理应用
com.cordova.credit_tool,good_only,1,0,1,productivity,medium,信用评估工具
com.monotype.android.font.agent,good_only,1,0,1,utility,high,字体管理工具
com.monotype.android.font.morrisfreestyle,good_only,1,0,1,utility,high,字体样式工具
com.monotype.android.font.typehappymarketlatin,good_only,1,0,1,utility,high,字体样式工具
com.amo.gps.geo.map.location.gpscamera,good_only,1,0,1,utility,high,GPS定位相机
map.gpscamera.geotag.photo.app,good_only,1,0,1,utility,high,地理标记相机
com.crazylabs.dentist,good_only,1,0,1,social_entertainment,high,牙医模拟休闲游戏
com.ironboy.stickman.rope.hero,good_only,1,0,1,social_entertainment,high,火柴人英雄动作
com.indogrosir.sd1.klikindogrosir,good_only,1,0,1,shopping,high,Indogrosir批发购物
com.mixmoji.emojifun,good_only,1,0,1,social_entertainment,medium,表情符号娱乐工具
com.googlemap.ceibaii,good_only,1,0,1,utility,medium,地图导航工具
com.msee.ArahKiblatindonesia,good_only,1,0,1,religious,high,印尼朝拜方向工具
com.quicinc.voice.activation,good_only,1,0,1,utility,medium,语音激活服务
free.vpn.unblock.proxy.vpnmonster,good_only,1,0,1,utility,high,VPN代理工具
ai.music.app,good_only,1,0,1,social_entertainment,medium,AI音乐播放应用
com.gdmobile.matrix,good_only,1,0,1,other,low,未知应用
com.tscnpm.image.toprompt.generator.forstablediffusion.midjourney.prompt.builder,good_only,1,0,1,utility,medium,AI提示词生成工具
com.vidmind.aiimagegenerator,good_only,1,0,1,utility,medium,AI图像生成工具
org.chromium.webapk.a58dfe6f5d310b417_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
tera.aiartgenerator.aiphoto.aiphotoenhancer,good_only,1,0,1,utility,medium,AI照片增强工具
tidynotes.notes.notepad.notebook.note.checklist,good_only,1,0,1,productivity,high,笔记清单管理工具
com.vistrav.duplicateimagefinder,good_only,1,0,1,utility,high,重复图片查找清理
org.chromium.webapk.a42b8bcc8827b7755_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
org.chromium.webapk.a8bd681f6cee754cb_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
org.chromium.webapk.aea78b9c67d1ef3a2_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
id.co.baliroyalhospital.mobile,good_only,1,0,1,other,medium,巴厘皇家医院应用
com.ntla642.hixhtbw,good_only,1,0,1,gambling,high,ntla典型赌博包名
beauty.selfie.camera,good_only,1,0,1,utility,high,美颜自拍相机
com.allvideodownloader.video.downloader.savevideos.allinone,good_only,1,0,1,utility,high,全能视频下载器
com.app.cerb.mc888,good_only,1,0,1,gambling,high,888/cerb典型赌博包名
com.blendergame.smash,good_only,1,0,1,social_entertainment,high,粉碎解压休闲游戏
com.btxdev.musiccompressor,good_only,1,0,1,utility,medium,音频压缩工具
com.craft.roblock.city.game,good_only,1,0,1,social_entertainment,high,城市建造沙盒游戏
com.craftman.building.craftworld.go,good_only,1,0,1,social_entertainment,high,沙盒建造模拟游戏
com.cww.cubecraft,good_only,1,0,1,social_entertainment,high,方块建造游戏
com.draw.to.pee.bo,good_only,1,0,1,social_entertainment,high,绘画闯关休闲游戏
com.fp.freestyle.stuntrunning,good_only,1,0,1,social_entertainment,high,跑酷特技游戏
com.fusionmind.avatarworldcharacters,good_only,1,0,1,social_entertainment,high,虚拟角色装扮游戏
com.granny.cat.run.strophe.game,good_only,1,0,1,social_entertainment,high,猫咪跑酷游戏
com.hd.picture.camera,good_only,1,0,1,utility,medium,高清相机应用
com.ig.delete.one.part,good_only,1,0,1,utility,medium,图片编辑工具
com.mysalon.dev,good_only,1,0,1,social_entertainment,medium,沙龙模拟经营游戏
com.rktraders.app,good_only,1,0,1,other,medium,交易员管理应用
com.summareconmall,good_only,1,0,1,shopping,high,Summarecon商场应用
com.terakorp.rsmasmitra,good_only,1,0,1,other,low,未知应用
id.highfivestudio.stitchbluekoala,good_only,1,0,1,social_entertainment,high,缝合考拉休闲游戏
org.chromium.webapk.a945f7d511ab71e66_v2,good_only,1,0,1,utility,high,浏览器WebAPK封装
